================================================================================
Ciąg liczb przypisanych do kwadratu (voxela) o położeniu (0,0,0)
================================================================================

Znaleziono 3,302 trójek (0,0,0) w ciągu π

Format: [pozycja_trójki] wartość_3-cyfrowa | kontekst_przed ... (0,0,0) ... kontekst_po
[ 105,242] 000 | ...77744 (0,0,0) 56699...
[ 105,458] 000 | ...45268 (0,0,0) 50490...
[ 107,078] 000 | ...75448 (0,0,0) 15738...
[ 109,087] 000 | ...88150 (0,0,0) 41723...
[ 109,567] 000 | ...88502 (0,0,0) 90315...
[ 109,831] 000 | ...22550 (0,0,0) 25611...
[ 110,005] 000 | ...79897 (0,0,0) 62737...
[ 110,878] 000 | ...99091 (0,0,0) 61555...
[ 112,579] 000 | ...89520 (0,0,0) 85393...
[ 112,726] 000 | ...06396 (0,0,0) 30298...
[ 114,391] 000 | ...10409 (0,0,0) 25235...
[ 114,931] 000 | ...26878 (0,0,0) 67915...
[ 116,365] 000 | ...94205 (0,0,0) 89988...
[ 118,058] 000 | ...32423 (0,0,0) 56066...
[ 118,589] 000 | ...70874 (0,0,0) 85249...
[ 119,564] 000 | ...48814 (0,0,0) 73749...
[ 119,965] 000 | ...46301 (0,0,0) 81448...
[ 120,426] 000 | ...01212 (0,0,0) 28980...
[ 121,697] 000 | ...92388 (0,0,0) 16953...
[ 121,808] 000 | ...60858 (0,0,0) 78312...
[ 122,196] 000 | ...38242 (0,0,0) 72825...
[ 123,185] 000 | ...65176 (0,0,0) 26926...
[ 123,258] 000 | ...09341 (0,0,0) 26851...
[ 123,938] 000 | ...90860 (0,0,0) 78805...
[ 126,065] 000 | ...13779 (0,0,0) 31008...
[ 126,210] 000 | ...43247 (0,0,0) 93753...
[ 126,249] 000 | ...55486 (0,0,0) 47342...
[ 126,981] 000 | ...40034 (0,0,0) 51475...
[ 129,264] 000 | ...78910 (0,0,0) 60357...
[ 129,345] 000 | ...14391 (0,0,0) 65160...
[ 133,383] 000 | ...43358 (0,0,0) 59686...
[ 133,765] 000 | ...65199 (0,0,0) 43761...
[ 135,805] 000 | ...99595 (0,0,0) 29393...
[ 135,822] 000 | ...60530 (0,0,0) 47355...
[ 136,842] 000 | ...30213 (0,0,0) 99661...
[ 138,568] 000 | ...58288 (0,0,0) 42360...
[ 140,785] 000 | ...58811 (0,0,0) 62420...
[ 142,913] 000 | ...80940 (0,0,0) 91455...
[ 144,588] 000 | ...23280 (0,0,0) 63623...
[ 144,832] 000 | ...21886 (0,0,0) 45813...
[ 147,851] 000 | ...59086 (0,0,0) 04762...
[ 147,955] 000 | ...78978 (0,0,0) 70963...
